signal,human_si,enc_01,enc_02,enc_03,enc_04,enc_05,enc_06,enc_07,enc_08,enc_09,enc_10,enc_11,enc_12,enc_13,enc_14,enc_15,enc_16,enc_17,enc_18,enc_19,enc_20,enc_21,enc_22,enc_23,enc_24,dec_01,dec_02,dec_03,dec_04,dec_05,dec_06,dec_07,dec_08,dec_09,dec_10,dec_11,dec_12,dec_13,dec_14,dec_15,dec_16,dec_17,dec_18,dec_19,dec_20,dec_21,dec_22,dec_23,dec_24
S08510_L0239_E001,10.0,0.969049857934316,0.9662874063650767,0.9636086041927338,0.9615776478052139,0.9612044242620468,0.960671579281489,0.9567256296078364,0.9400645308469733,0.9323384218898912,0.9258379987434795,0.916774286126097,0.9130350905954838,0.911534814973323,0.9080245280023664,0.9045766507793839,0.9003533194288611,0.8962755872906031,0.8936945497025736,0.8863230123880009,0.880800483035855,0.8788961397781968,0.8803000445663929,0.8775505927205086,0.8763682960321506,0.9150756334747292,0.9484606853056725,0.9659472569597128,0.9562817255363553,0.9240047325825586,0.9228638217317363,0.9241769618247201,0.9165253792155704,0.9121700625213149,0.9121554101068817,0.9040222724546874,0.9140697052656481,0.9148544589521258,0.9223917500899038,0.9314640703357522,0.942513743310814,0.9557266042169346,0.9634354492437917,0.9700566508990427,0.9739005646942779,0.9771256420315698,0.9783450712748835,0.9794324511626066,0.9788263198872063
S08529_L0216_E001,71.4285714286,0.9687536800702413,0.9697573783397675,0.9681727274656295,0.9679010379314422,0.9667928296724956,0.966290806889534,0.9613156193494796,0.9448821105801811,0.9382857672783236,0.9316552193574608,0.9257195780575276,0.9209516619543234,0.9201450976716975,0.9161114220991731,0.9141306967847049,0.9107092261749009,0.9074511044124762,0.9057787968218327,0.899161427412284,0.8955267169699073,0.8934289997468392,0.8945788986931245,0.89303730729719,0.8938732437392076,0.7924493443530344,0.8695814449543804,0.9144423907663858,0.8938265380452179,0.8391755813823679,0.8398393837866043,0.8422292320340028,0.8375931909915476,0.8468140685142402,0.853961595742878,0.8415365920710106,0.8612270637466309,0.8637008506085365,0.8693502532293205,0.882323535897129,0.897551110612964,0.9172720357716888,0.9311847609382795,0.9406683229128329,0.9469680399496969,0.9511251955485388,0.9536351778324086,0.9504126042593686,0.942523005437662
S08532_L0242_E001,0.0,0.9592556248903275,0.958742579539617,0.9566098635991415,0.9545739510059357,0.9513168402512868,0.9503046822150548,0.9428702729344368,0.9199090792102118,0.9071912505878912,0.897653342119418,0.8845301818971832,0.8778687864989042,0.8778809176261226,0.8718320908943812,0.8635422989738484,0.8586271303907658,0.8522268112940315,0.8499416170533126,0.8367303398671405,0.8292837216812186,0.8272504096558938,0.8297722594688336,0.8224557488809029,0.8217014383773009,0.516556416107383,0.6530196529058344,0.7996626529107406,0.7329870068476719,0.5725440008912309,0.5420865401145452,0.5062546901155891,0.4693982243518368,0.47547174422947414,0.45489309584909055,0.4445570264656042,0.4670337065971929,0.526669849956775,0.57310214485397,0.6195114559342254,0.6944802712271153,0.7548320508569809,0.7935603703644794,0.8295133635965739,0.8628388534222564,0.8805507220328559,0.8888197402571125,0.884004621160928,0.8713776096813117
S08537_L0229_E001,0.0,0.9672978345155716,0.9686609638929367,0.9675530217885971,0.9668888895511627,0.964965324918429,0.9643462280829748,0.9610002109209697,0.9449950178712606,0.9369152196620901,0.9311750188941756,0.9228701439673702,0.9171417735343178,0.9164933765620614,0.9116779313596587,0.9070571207087487,0.9023202747510125,0.89817396401645,0.8961100827548653,0.8880391903271277,0.8826462688675771,0.8799869847328713,0.8792866691301267,0.8739630255798498,0.870271055161953,0.5545399938855949,0.7136072120711198,0.8143398186420044,0.7622337581975653,0.5922895229470886,0.5678496739241347,0.5642239032100029,0.5287898193657858,0.5362068989054292,0.5364239293262334,0.5276993385906704,0.5550574165657253,0.5763972894220604,0.6000574165212719,0.621133429611202,0.6750103041374597,0.7351122978803407,0.7760119680086252,0.8143821594793708,0.8391634896881329,0.8604230476328925,0.8665523794845303,0.8600241733341871,0.8452243313621689
S08537_L0242_E001,0.0,0.9644409716526667,0.9664700789451599,0.9666480424801509,0.9662464216152827,0.9645363844633102,0.9635445342063904,0.9595497796535492,0.9419476437469323,0.9326976293846965,0.9263949034512043,0.9174737679784497,0.9107593266765277,0.9102195775893828,0.9050011793201168,0.8993386982524146,0.8944601263881972,0.8899139002338052,0.8877865064255893,0.8791775601419309,0.8737357771353175,0.8712203838477532,0.8700845157702763,0.8653282272666692,0.8610815611879031,0.43846145574058887,0.5877658655019562,0.7467123720173727,0.6750426137812723,0.5029000330545906,0.4907061748963607,0.47309868121428406,0.42904696702831596,0.4312181917022821,0.41791909976637254,0.4121479526278514,0.4348562580688842,0.49369035110572523,0.5469402484149521,0.5984286464583934,0.6744503240864003,0.7385036881967256,0.7807582456723446,0.8175664621378036,0.8441051594473385,0.8676085502161577,0.8713453176235568,0.8678144354020695,0.8534877230994505
S08540_L0206_E001,0.0,0.9669342337846756,0.9674625860452652,0.9664521050453186,0.9641556404829025,0.961437055627505,0.958905414144198,0.950661689043045,0.9283552293082078,0.9181240328624845,0.9111565138480315,0.9025419596868257,0.8980244703690211,0.8973596003608157,0.8917536259454986,0.884098267486707,0.8790682243884852,0.8745637193399792,0.8737969366049705,0.8636061103890533,0.858750043870726,0.8574904453065052,0.8589895513132214,0.8538783704712987,0.8515908762936791,0.4552009405667187,0.642734241059097,0.794698652450799,0.7198821540792344,0.5317746032691487,0.5011415831719014,0.47195829301134307,0.4237833125603658,0.41225851846741873,0.40980197835941173,0.3911385536844073,0.3884697749978226,0.4449820343012008,0.49297960613714153,0.5404193315261693,0.6262441733508483,0.7001342468640986,0.7471363696066671,0.7890027103145243,0.8227960637508747,0.8497851092886192,0.8592463291614231,0.8586662374950635,0.8391563932416778
S08540_L0212_E001,0.0,0.9711954937378565,0.9708054798046748,0.9695826715230942,0.9670238683621089,0.963842491666476,0.9613377075592677,0.9539718784491221,0.9318951699783404,0.9212382745034993,0.9144498392281433,0.9054398403018713,0.9001241183417539,0.8986751164073745,0.8925389589903255,0.882579514041543,0.8771106960916271,0.8726389414773633,0.8716632870653024,0.8613932696568469,0.8565804745486627,0.8553169700453679,0.857700574937587,0.8524712451696396,0.8507790627082189,0.45735740679517856,0.6342514043582402,0.7946011240553581,0.7227202275838447,0.5196179491402784,0.47790666344806687,0.4623888931260997,0.4150717522257464,0.40090220840251295,0.41408009394337447,0.4016071203235136,0.39023038095377144,0.43449812568100116,0.4722681644709153,0.5218456539303407,0.5928868461323984,0.6757274921558734,0.7348570237054657,0.7830994611588922,0.8136814781831726,0.8414284864949777,0.8573974698731621,0.862945732905115,0.8581622347988556
S08554_L0218_E001,100.0,0.9616263914108276,0.961316658894221,0.9604927600224813,0.9593005134264628,0.9584766078392665,0.9571368730465571,0.954010306417942,0.9392118383410076,0.9333502069152891,0.9279044187093775,0.9199003663224479,0.9151313155802587,0.9139558067339628,0.9090539129072179,0.9049687151251904,0.9011671501642947,0.8973663600515575,0.8946456968236404,0.8877003690140943,0.8832960225443045,0.8811577153690159,0.8825944663981596,0.8790443991919359,0.8772318171660105,0.9674948804795445,0.9711407702270353,0.9793951665731957,0.9731287286238606,0.9577211829003124,0.9591623580001636,0.9563086848704602,0.95719213546932,0.9541099742260248,0.9516682926452396,0.9412374148766582,0.9438251480490885,0.9484992376327452,0.9547994300346526,0.9599851113741529,0.9660704629915791,0.9716059993904019,0.9754134526328582,0.9791902489817889,0.982704861971541,0.9851572825342405,0.9856202089363406,0.9841912265416538,0.981439181953487
S08554_L0221_E001,100.0,0.9658198769887288,0.9641184873580932,0.9632306108872096,0.9615628779729207,0.9615835760037105,0.9604350877205531,0.9576021272142728,0.9440651350462188,0.9379936797975873,0.9327794273563971,0.9246729737222195,0.9191887403912842,0.9174478858523071,0.9125335071917313,0.9080932938791811,0.9042378202988766,0.9010233823594948,0.898552327790608,0.8917445754682024,0.8874822653060158,0.8852095637501528,0.8865433825701475,0.8820487570216259,0.8794887322435776,0.9672629606734712,0.9713490990871401,0.9790241478005451,0.9722081199125916,0.955874896789706,0.9575281079164278,0.9553857962713616,0.9565412372536061,0.9531898883559626,0.9509861957051157,0.9432487011796338,0.94529758651514,0.9498520462079643,0.9556143659948064,0.9600574836187428,0.9659001408512721,0.9712237093933965,0.9748476806400806,0.9787687916946107,0.9827608975891817,0.9852839465694225,0.9857390926564974,0.9843933517762014,0.9815390953241974
S08555_L0216_E001,42.8571428571,0.9656412804126739,0.9651658658583959,0.962260102669398,0.9633839097817739,0.9632650473117829,0.9615355145533879,0.9571234741210938,0.9410061748673518,0.9344567002952099,0.9290282314221064,0.9210679428229729,0.9162662986852229,0.9153674703650176,0.910596736971289,0.90752969449386,0.9035554792061448,0.8999291104649504,0.8971144138909877,0.8897703858197977,0.8856952770774563,0.8840281942908963,0.8858352189511061,0.8834768937428792,0.8826737922728062,0.932944828347724,0.9629691439212843,0.9722379327299709,0.9638570152483318,0.9386582236083054,0.9382154887319869,0.9382269834303916,0.9255944568633361,0.9208890294022378,0.9103703791938778,0.8957779705667015,0.9056766345053097,0.9102397704146918,0.9199876299551828,0.9319575110916061,0.9429711634433902,0.955244514100565,0.9615936803494003,0.9665529932983017,0.9690382944687596,0.9714775483079258,0.9693363786871456,0.9648249411714434,0.9582474143607381
